zip,city,state_id,lat,lng,population,sales_potential,sales_potential_norm,territory,sales_rep
90001,Los Angeles,CA,33.97365,-118.24904,56189.0,53369.21389516578,0.477282622598784,2,Sales Rep 2
90002,Los Angeles,CA,33.94906,-118.24679,52122.0,61518.85243147906,0.5501703465359804,2,Sales Rep 2
90003,Los Angeles,CA,33.96409,-118.27368,70065.0,76566.86221320643,0.6847548655778459,2,Sales Rep 2
90004,Los Angeles,CA,34.07624,-118.31101,58484.0,60791.977115911795,0.5436694094573898,2,Sales Rep 2
90005,Los Angeles,CA,34.05939,-118.30909,39142.0,33756.352649679146,0.30187155256054665,2,Sales Rep 2
90006,Los Angeles,CA,34.04807,-118.29411,55527.0,47886.36309228333,0.42824578324343804,2,Sales Rep 2
90007,Los Angeles,CA,34.02819,-118.28486,38715.0,31871.482818036737,0.2850138880967616,2,Sales Rep 2
90008,Los Angeles,CA,34.01037,-118.3428,33252.0,38122.43567972326,0.34092038315134426,2,Sales Rep 2
90011,Los Angeles,CA,34.00689,-118.25861,100113.0,104162.17086825914,0.9315583563399162,2,Sales Rep 2
90012,Los Angeles,CA,34.06679,-118.23878,37336.0,40443.439105837264,0.36167868503505146,2,Sales Rep 2
90013,Los Angeles,CA,34.04435,-118.24,14357.0,11603.812633841935,0.1037464192816332,2,Sales Rep 2
90014,Los Angeles,CA,34.04302,-118.25182,10224.0,12145.743331401693,0.10859327167892943,2,Sales Rep 2
90015,Los Angeles,CA,34.03932,-118.26625,24704.0,27989.065199333447,0.25029080408020754,2,Sales Rep 2
90016,Los Angeles,CA,34.02881,-118.35436,46457.0,41111.45522591227,0.36765320455866835,2,Sales Rep 2
90017,Los Angeles,CA,34.05306,-118.26447,30172.0,26332.009164229057,0.23547063232694698,2,Sales Rep 2
90018,Los Angeles,CA,34.0286,-118.31737,48745.0,42572.02113312225,0.38071603233470375,2,Sales Rep 2
90019,Los Angeles,CA,34.04861,-118.33874,59548.0,54885.20683350182,0.49084117176483855,2,Sales Rep 2
90020,Los Angeles,CA,34.06638,-118.30986,38994.0,39380.14091802699,0.35216889089747044,2,Sales Rep 2
90021,Los Angeles,CA,34.02909,-118.23889,2897.0,2818.1378876024837,0.02517019376530652,2,Sales Rep 2
90022,Los Angeles,CA,34.02455,-118.15608,60343.0,55303.856002788176,0.4945854341565402,2,Sales Rep 2
90023,Los Angeles,CA,34.02264,-118.19986,43857.0,45819.21296153576,0.40975786290251603,2,Sales Rep 2
90024,Los Angeles,CA,34.06565,-118.43521,51675.0,44223.338099677705,0.3954848757201861,2,Sales Rep 2
90025,Los Angeles,CA,34.04551,-118.44583,46508.0,42641.225325630374,0.38133497218784607,2,Sales Rep 2
90026,Los Angeles,CA,34.07883,-118.2637,62692.0,59340.78267190725,0.530690397008864,2,Sales Rep 2
90027,Los Angeles,CA,34.12515,-118.29049,46558.0,45739.8825300707,0.4090483572523354,2,Sales Rep 2
90028,Los Angeles,CA,34.09982,-118.3268,32883.0,36633.976455394586,0.3276080865934996,2,Sales Rep 2
90029,Los Angeles,CA,34.08983,-118.29467,33303.0,29302.29438688794,0.2620359000206272,2,Sales Rep 2
90031,Los Angeles,CA,34.08122,-118.21081,36127.0,36332.69902262742,0.3249135589466361,2,Sales Rep 2
90032,Los Angeles,CA,34.0793,-118.17835,43117.0,44710.855586249876,0.39984507400597447,2,Sales Rep 2
90033,Los Angeles,CA,34.05117,-118.21165,45647.0,37365.728795771895,0.33415264220025004,2,Sales Rep 2
90034,Los Angeles,CA,34.03059,-118.39936,57075.0,59530.24896890984,0.5323849221205966,2,Sales Rep 2
90035,Los Angeles,CA,34.05139,-118.38577,29000.0,25178.079834772583,0.22515026265242816,2,Sales Rep 2
90036,Los Angeles,CA,34.07013,-118.34978,39278.0,32444.438587710327,0.29013821867683715,2,Sales Rep 2
90037,Los Angeles,CA,34.00271,-118.28747,65482.0,77239.5691001691,0.690771337799173,2,Sales Rep 2
90038,Los Angeles,CA,34.08882,-118.32671,27127.0,32179.480064485422,0.287768515577789,2,Sales Rep 2
90039,Los Angeles,CA,34.11242,-118.26153,28884.0,32447.099601198344,0.29016201791844076,2,Sales Rep 2
90040,Los Angeles,CA,33.99318,-118.1489,11430.0,10536.69415266065,0.09420245767915852,2,Sales Rep 2
90041,Los Angeles,CA,34.13749,-118.20746,27920.0,23426.802169223294,0.20948740319489953,2,Sales Rep 2
90042,Los Angeles,CA,34.11475,-118.192,56835.0,61023.35362472737,0.5457387659110482,2,Sales Rep 2
90043,Los Angeles,CA,33.98876,-118.33519,42377.0,41362.53689088123,0.3698987975380875,2,Sales Rep 2
90044,Los Angeles,CA,33.95253,-118.29194,94830.0,80493.15432413215,0.7198703488232422,2,Sales Rep 2
90045,Los Angeles,CA,33.95302,-118.40028,41786.0,41705.38494636382,0.3729651193521252,2,Sales Rep 2
90046,Los Angeles,CA,34.10752,-118.36575,48296.0,39301.13120631224,0.35146225366071915,2,Sales Rep 2
90047,Los Angeles,CA,33.95456,-118.30899,50974.0,59319.87927022554,0.5305034437637187,2,Sales Rep 2
90048,Los Angeles,CA,34.07293,-118.3727,21476.0,19403.823553936785,0.17350718721235162,2,Sales Rep 2
90049,Los Angeles,CA,34.08749,-118.48976,37122.0,39535.26089591541,0.3535562336704163,2,Sales Rep 2
90056,Los Angeles,CA,33.99361,-118.36884,8543.0,7899.579089212735,0.07061695583404641,2,Sales Rep 2
90057,Los Angeles,CA,34.06205,-118.27704,46629.0,47003.30070380006,0.4203479596400605,2,Sales Rep 2
90058,Los Angeles,CA,34.00264,-118.21452,3585.0,3651.9825405782626,0.03262782990484751,2,Sales Rep 2
90059,Los Angeles,CA,33.92709,-118.2491,37511.0,32782.43019248722,0.2931611059708315,2,Sales Rep 2
90061,Los Angeles,CA,33.92037,-118.27383,30051.0,35695.5950595811,0.31921550772989815,2,Sales Rep 2
90062,Los Angeles,CA,34.0035,-118.30904,32715.0,36315.388126503545,0.3247587359060607,2,Sales Rep 2
90063,Los Angeles,CA,34.0452,-118.18583,48397.0,56905.17210995283,0.5089070860721605,2,Sales Rep 2
90064,Los Angeles,CA,34.0358,-118.42653,26642.0,30849.59610803737,0.2758744647859434,2,Sales Rep 2
90065,Los Angeles,CA,34.10867,-118.22813,44658.0,46406.806901498174,0.41501311253013007,2,Sales Rep 2
90066,Los Angeles,CA,34.00166,-118.43104,56740.0,66314.85763808466,0.5930642616394304,2,Sales Rep 2
90067,Los Angeles,CA,34.0565,-118.41373,3875.0,3237.1633781804753,0.02891782185259018,2,Sales Rep 2
90068,Los Angeles,CA,34.12794,-118.32914,21572.0,18948.69692324232,0.16943668223636882,2,Sales Rep 2
90069,West Hollywood,CA,34.09401,-118.38154,20961.0,17148.003681141516,0.1533318658888707,2,Sales Rep 2
90071,Los Angeles,CA,34.05239,-118.25518,556.0,517.1534655617501,0.004590935361367016,2,Sales Rep 2
90073,Los Angeles,CA,34.05738,-118.45956,1079.0,1030.9531182299804,0.00918619281675482,2,Sales Rep 2
